image,locationName,city,gencapacity (kW),Unnamed: 4,latitude,longitude
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,ASA Holdings NY I LLC - 2700 US Highway 11,"Richville, NY",4000,,44.4262182,-75.3844036
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,ASA Volney NY Solar I LLC,"Volney, NY",6300,,43.3280099,-76.3622823
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,Ashdown - 25 Ashdown Rd,"Clifton Park, NY",5800,,42.8833269,-73.8857578
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,Avon School District,"Avon, NY",1510,,42.9049665,-77.7406253
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,"Avon Solar Farm, LLC - 500 Rochester St","Avon, NY",4900,,42.9272539,-77.7424276
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,Baer Road,"Callicoon, NY",2800,,41.7963516,-75.0664696
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,"Bangor Solar, LLC - 2739 State Route 11B","North Bangor, NY",6800,,44.8162959,-74.3834241
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,"Barton Mines Company, LLC - 28 Barton Mines Lane","North Creek, NY",2700,,43.7205937,-74.0668644
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,Bausch & Lomb,"Rochester, NY",1100,,43.1801223,-77.576716
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,"Beaver Dam Solar 1, LLC - 275 Beaver Dam Road","Selkirk, NY",7600,,42.5475963,-73.7962971
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,Bethlehem Central School District,"Delmar, NY",2200,,42.6028103,-73.8840666
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,Bethlehem East,"Selkirk, NY",2400,,42.542372,-73.8314009
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,Bethlehem West,"Selkirk, NY",1308,,42.542372,-73.8314009
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,Big Flats Community Solar Farm,"Horseheads, NY",5500,,42.189191,-76.8935669
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,"Black River Solar, LLC","Watertown, NY",5600,,43.9984345,-75.8230076
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,"Black Water Solar Partners, LLC - 104 Horseshoe Rd","Heuvelton, NY",3100,,44.6131451,-75.4170952
